%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor baseflow_Q     neg_kge        
216      I1         1.962053355    1.457724002    3.624777989    0.7599331456   0.3787398946   7.15887715     0.06765196184  0.2953165152   
217      I1         0.7074897604   2.318754595    2.687332496    0.7102397642   0.7193760053   6.850141074    0.262893519    0.1785894295   
218      I1         1.076181637    1.941346502    4.314317134    0.8399888113   0.3148766168   1.458145766    0.1319112818   0.4493634294   
219      I1         0.460359321    1.382261558    3.424068791    0.03599679946  0.7761797963   0.6063780837   0.2814000028   0.2256422291   
220      I1         0.7957480231   1.005001595    2.741246095    0.6948103972   0.8833437898   6.315550258    0.1221526973   0.5941390892   
221      I1         1.131380639    2.459660638    3.27858566     0.8261550649   0.5517586627   6.827758737    0.2051924932   0.171309928    
222      I1         0.6363943388   1.41831238     2.651214515    0.4832078674   0.9267890524   4.934930773    0.0861623661   0.7203030239   
223      I1         0.8066862593   2.120810807    3.876091411    0.07396129374  0.7934731076   7.027733153    0.1599009314   0.2992817203   
224      I1         0.3762842491   2.564005466    3.961198443    0.6968460319   0.622309483    7.310678901    0.2719180238   0.2341221814   
225      I1         1.310439953    2.091183159    3.123302953    0.7246198575   0.6425564559   5.162715657    0.2138940596   0.1017576567   
226      I1         0.7603459946   1.197083982    3.112754433    0.5837991308   0.5788924596   2.534502614    0.2391205003   0.154604379    
227      I1         1.574434238    1.865102614    4.311366217    0.5377850523   0.807958624    9.006293536    0.01089241533  1.030254778    
228      I1         0.6609580598   1.712391478    3.461227053    0.9614109575   0.459415704    5.618450393    0.2706239538   0.2308450028   
229      I1         0.9821751427   2.538197415    3.574528517    0.9105767505   0.7618330616   7.990311883    0.2828828885   0.175035931    
230      I1         1.758476031    1.661443372    4.25617578     0.0138220575   0.9751072237   7.623043751    0.1735634008   0.2359123914   
231      I1         1.811396034    2.644110444    2.641115736    0.3991976672   0.9883526835   2.631645173    0.22779584     0.4357718683   
232      I1         1.998319731    1.015258679    4.413056666    0.7047729654   0.220584488    4.801508251    0.256643468    0.5009858104   
233      I1         1.361125029    1.423331016    3.951384311    0.7660642874   0.6635464248   1.905774743    0.06641101064  0.6789371558   
