%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil f_tile_shallow log__tau_tile  neg_kge        
109      I1         1.422242053    1.259956569    0.5148475791   2.119467852    2.928542875    1.732290222    0.2406494707   0.1923903262   1.757442385    
110      I1         1.72488636     1.576814556    0.4302310682   9.452573645    2.115564427    3.385972172    0.6927688511   0.6426235076   1.6614021      
111      I1         1.564016217    2.129963821    0.8843081683   5.332589335    2.545055544    2.909771012    0.421848854    0.3322937471   1.696896667    
112      I1         0.7113794074   1.850722746    0.1048459823   3.870790833    3.349541171    1.469040431    0.9505069241   0.1125645013   2.192174689    
113      I1         1.600285292    1.995419009    0.6759921798   3.367361355    3.319114535    1.982619568    0.8121385815   0.6868493745   1.612118586    
114      I1         0.3830346702   1.116056146    0.9286045323   7.85114876     3.108573553    1.718908564    0.6480871479   0.4745297387   2.446285493    
115      I1         0.9445149779   1.299671974    0.03416342229  1.104796521    3.338747583    2.932238079    0.9817961746   0.6062371651   1.988046006    
116      I1         1.701964074    1.303784423    0.1263474312   9.290806578    3.452431817    3.184682814    0.2028162538   0.4245115025   1.588424499    
117      I1         1.230764125    1.643923416    0.7832098883   0.6072840908   3.367288764    2.782544735    0.832416014    0.8527858923   1.849660873    
118      I1         0.3177406747   1.717746796    0.358488549    0.3991321436   2.861131824    1.085434055    0.78062088     0.7720319335   2.086652922    
119      I1         1.665250111    2.013724513    0.420406943    1.36328288     3.262617504    2.84541578     0.155482231    0.9124723754   1.366502813    
120      I1         0.4792202012   2.51442489     0.784607915    7.577552967    1.065689614    1.607548938    0.7363004901   1.030292122    2.259472335    
121      I1         0.408544849    1.96163696     0.01914181588  0.9593261186   2.677141229    2.271010171    0.3397630774   1.009938167    1.561806974    
122      I1         0.4175703839   1.382261558    0.9473977662   9.810060082    2.966218213    2.601034812    0.7851107467   1.017494081    2.332929326    
123      I1         1.269443469    1.457724002    0.04564759294  7.759167438    1.803966125    1.735840912    0.9662797944   0.9717382062   1.759947728    
124      I1         1.098367723    2.680127378    0.2089578086   1.879921363    1.193691687    2.208152425    0.9460426438   0.5737625005   2.177037749    
