%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__routing_K neg_kge        
189      I1         1.901462023    1.580142564    3.469245654    0.152770079    0.1505513559   3.042521913    0.7353839692   0.4991321006   
190      I1         0.5783994492   1.727952704    3.014647514    0.5763089343   0.1177522271   1.149210547    0.7225174829   1.756782533    
191      I1         0.8789505393   2.447268904    3.34417956     0.5788593947   0.03575032858  6.766951214    0.1347725234   1.873489707    
192      I1         0.4792202012   1.1350667      3.03564899     0.9197970148   0.949165208    5.877084206    0.9919151189   2.002715992    
193      I1         0.551983061    1.063528064    2.693563229    0.6160442773   0.02603853883  6.001678038    0.3022294626   2.179747514    
194      I1         1.518732135    1.767639995    4.042251232    0.4149177055   0.7373991272   5.567548951    0.6654785081   1.159777191    
195      I1         1.815934321    2.668874854    2.972977533    0.9664733799   0.6270359666   2.073431759    -0.3480255057  1.615926039    
196      I1         1.301021493    2.35817213     4.125732872    0.1060554789   0.4242836668   8.799554718    -0.6877099953  0.4291818264   
197      I1         0.866175135    2.653075503    2.737443737    0.179527658    0.2644768829   2.271706462    -0.2324746431  0.5614693768   
198      I1         1.550696324    1.072841677    3.314757769    0.6520493137   0.1117894441   4.715888998    -0.02826568354 1.215263865    
199      I1         1.212023774    1.213851171    3.721320857    0.4528106755   0.01337837752  6.710055755    0.681648513    0.3696978367   
200      I1         0.3485504418   2.180520308    2.761519739    0.2482968935   0.8537564426   1.276621057    0.5559797515   1.351060233    
201      I1         0.4175703839   2.600075591    3.349998568    0.7522225039   0.2156810159   5.275197541    0.4151602836   2.409224054    
202      I1         1.031569625    2.282828503    3.306796818    0.3136359659   0.15576903     8.538878684    -0.01629239813 0.6074107306   
203      I1         0.7482488826   2.623360368    3.253518959    0.4191608878   0.07719894133  1.010521473    0.2025960931   1.369604447    
204      I1         0.9080263691   1.702042258    4.489577456    0.3334357705   0.9170078746   8.435700196    -0.5205181588  1.960341624    
205      I1         0.3949104709   1.303784423    3.64216882     0.1861942359   0.10346091     1.544169539    0.6055871194   0.2151055447   
206      I1         1.200518864    1.425525521    2.726943377    0.4727462276   0.5982216018   2.089410644    0.4777413425   1.623374939    
207      I1         1.701964074    2.339796042    3.563084631    0.04404286758  0.2052308283   8.703049179    0.7176969162   0.602917291    
208      I1         0.3902345162   2.555003389    4.116854075    0.5475402506   0.05124040972  6.634035164    -0.3446896258  2.611691529    
209      I1         0.4304851418   1.010688332    3.128993032    0.6022610977   0.4360470655   0.8712048423   0.09935113895  2.493323134    
210      I1         0.6881199015   1.972364014    3.373360849    0.05397155562  0.2877460165   9.199591692    -0.8754082362  0.3598385451   
211      I1         0.5014862514   1.046458867    3.296963637    0.3820957175   0.6156617733   2.837997409    -0.06545518435 2.347745911    
